trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10000070,61B,4,OUTBOUND-NORTH BRADDOCK,,0,61A-096,shp-61B-59,1,1
1000080,51,3,OUTBOUND-WEST MIFFLIN,,0,51 -004,shp-51-58,1,1
10001080,71D,3,INBOUND-OAKLAND,,1,71D-083,shp-71D-02,1,1
10002020,27,2,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,27 -074,shp-27-53,1,1
10003010,86,1,OUTBOUND-WILKINSBURG,,0,86 -143,shp-86-52,1,1
10004010,17,1,OUTBOUND-ROSS,,0,17 -096,shp-17-52,1,1
10005010,91,1,OUTBOUND-VA HOSPITAL,,0,91 -131,shp-91-51,1,1
10006080,15,3,INBOUND-DOWNTOWN,,1,15 -071,shp-15-04,1,1
100070,P1,4,INBOUND-DOWNTOWN,,1,P1  -221,shp-P1-12,1,1
10007070,75,4,INBOUND-SOUTH SIDE WORKS,,1,75 -142,shp-75-05,1,1
10008070,61C,4,OUTBOUND-MCKEESPORT TRANSPORTATION CENTER,,0,61C-192,shp-61C-54,1,1
10009010,71C,1,OUTBOUND-WILKINSBURG STATION,,0,71D-095,shp-71C-N4,1,1
10010010,71D,1,INBOUND-OAKLAND,,1,71D-085,shp-71D-02,1,1
1001020,8,2,OUTBOUND-WEST VIEW,,0,13 -120,shp-8-53,1,1
10011020,61D,2,INBOUND-OAKLAND,,1,61A-180,shp-61D-02,1,1
10012010,36,1,OUTBOUND-SOUTH HILLS VILLAGE,,0,36 -055,shp-36-53,1,1
10013070,93,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,93 -259,shp-93-51,1,1
10014010,61B,1,OUTBOUND-NORTH BRADDOCK,,0,61A-089,shp-61B-59,1,1
10015020,Y49,2,OUTBOUND-CENTURY SQUARE,,0,51 -057,shp-Y49-60,1,1
10016070,88,4,INBOUND-DOWNTOWN,,1,69 -053,shp-88-07,1,1
10017070,79,4,INBOUND-LINCOLN PARK,,1,79 -156,shp-79-03,1,1
10018070,89,4,OUTBOUND-GARFIELD COMMONS,,0,79 -152,shp-89-52,1,1
10019010,20,1,OUTBOUND-KENNEDY CENTER,,0,20 -005,shp-20-57,1,1
10020,44,2,INBOUND-DOWNTOWN,,1,44 -186,shp-44-06,1,1
10020020,61D,2,INBOUND-OAKLAND,,1,61D-290,shp-61D-02,1,1
1002070,17,4,INBOUND-DOWNTOWN,,1,12 -054,shp-17-01,1,1
10021070,61D,4,INBOUND-OAKLAND,,1,61D-211,shp-61D-02,1,1
10022080,48,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,43 -082,shp-48-52,1,1
10023020,39,2,INBOUND-DOWNTOWN,,1,39 -161,shp-39-07,1,1
10024080,P1,3,OUTBOUND-SWISSVALE,,0,P1  -171,shp-P1-57,1,1
10025080,51,3,INBOUND-DOWNTOWN,,1,51 -010,shp-51-08,1,1
10026020,P12,2,OUTBOUND-HOLIDAY PARK VIA MONROEVILLE,,0,P12 -381,shp-P12-71,1,1
10027070,82,4,INBOUND-DOWNTOWN,,1,82 -165,shp-82-02,1,1
10028010,57,1,OUTBOUND-WATERFRONT,,0,57 -052,shp-57-51,1,1
10029020,51,2,OUTBOUND-WEST MIFFLIN,,0,51 -029,shp-51-58,1,1
10030070,88,4,INBOUND-DOWNTOWN,,1,88 -203,shp-88-07,1,1
1003070,15,4,OUTBOUND-SUMMER HILL,,0,15 -102,shp-15-52,1,1
10031020,53L,2,INBOUND-DOWNTOWN,,1,53L-073,shp-53L-06,1,1
10032070,71D,4,OUTBOUND-WILKINSBURG,,0,71D-119,shp-71D-52,1,1
10033070,89,4,OUTBOUND-GARFIELD COMMONS,,0,89 -208,shp-89-52,1,1
10034010,61C,1,INBOUND-DOWNTOWN,,1,61C-133,shp-61C-04,1,1
10035020,67,2,OUTBOUND-CCAC BOYCE,,0,67 -075,shp-67-61,1,1
10036070,15,4,OUTBOUND-SUMMER HILL,,0,15 -101,shp-15-52,1,1
10037010,71D,1,OUTBOUND-WILKINSBURG,,0,71D-093,shp-71D-52,1,1
10038070,61B,4,INBOUND-DOWNTOWN,,1,61A-101,shp-61B-10,1,1
10039020,61B,2,INBOUND-DOWNTOWN,,1,61B-233,shp-61B-09,1,1
10040020,31,2,OUTBOUND-BRIDGEVILLE,,0,31 -109,shp-31-53,1,1
1004080,82,3,INBOUND-DOWNTOWN,,1,82 -130,shp-82-02,1,1
10041020,P10,2,INBOUND-DOWNTOWN,,1,71C-151,shp-P10-17,1,1
10042010,61B,1,OUTBOUND-NORTH BRADDOCK,,0,61B-114,shp-61B-59,1,1
10043070,8,4,OUTBOUND-WEST VIEW,,0,8 -036,shp-8-53,1,1
10044020,83,2,INBOUND-DOWNTOWN,,1,83 -340,shp-83-03,1,1
10045010,61D,1,INBOUND-OAKLAND,,1,61D-153,shp-61D-02,1,1
10046010,61D,1,INBOUND-OAKLAND,,1,61D-146,shp-61D-02,1,1
10047010,1,1,INBOUND-DOWNTOWN,,1,1 -001,shp-1-51,1,1
10048010,61A,1,INBOUND-DOWNTOWN,,1,61A-086,shp-61A-10,1,1
10049070,51,4,INBOUND-DOWNTOWN,,1,51 -026,shp-51-09,1,1
10050080,29,3,OUTBOUND-CCAC WEST,,0,29 -045,shp-29-53,1,1
1005010,83,1,OUTBOUND-WHARTON SQUARE,,0,83 -190,shp-83-53,1,1
10051070,82,4,INBOUND-DOWNTOWN,,1,82 -160,shp-82-02,1,1
10052070,82,4,INBOUND-DOWNTOWN,,1,82 -163,shp-82-02,1,1
10053070,61C,4,INBOUND-DOWNTOWN,,1,61C-192,shp-61C-04,1,1
10054020,G2,2,OUTBOUND-CARNEGIE,,0,G2  -226,shp-G2-55,1,1
10055020,P1,2,INBOUND-DOWNTOWN,,1,P1  -369,shp-P1-12,1,1
10056080,83,3,INBOUND-DOWNTOWN,,1,83 -181,shp-83-03,1,1
10057070,77,4,OUTBOUND-ALCOMA,,0,77 -144,shp-77-58,1,1
10058070,Y46,4,OUTBOUND-ELIZABETH,,0,Y46 -271,shp-Y46-63,1,1
10059080,59,3,OUTBOUND-NORTH VERSAILLES,,0,59 -067,shp-59-55,1,1
10060020,39,2,OUTBOUND-BROOKLINE,,0,39 -151,shp-39-57,1,1
1006010,6,1,OUTBOUND-SUMMER HILL,,0,12 -042,shp-6-53,1,1
10061010,55,1,OUTBOUND-WEST MIFFLIN,,0,55 -029,shp-55-53,1,1
10062020,24,2,OUTBOUND-MALL AT ROBINSON,,0,24 -056,shp-24-54,1,1
10063010,Y46,1,INBOUND-DOWNTOWN,,1,Y46 -204,shp-Y46-17,1,1
10064020,38,2,INBOUND-DOWNTOWN,,1,38 -140,shp-38-06,1,1
10065070,43,4,INBOUND-DOWNTOWN,,1,43 -104,shp-43-03,1,1
10066010,71B,1,OUTBOUND-HIGHLAND PARK,,0,71B-062,shp-71B-53,1,1
10067070,60,4,INBOUND-OLYMPIA SHOPPING CENTER,,1,60 -095,shp-60-16,1,1
10068020,P3,2,INBOUND-OAKLAND,,1,P3  -396,shp-P3-10,1,1
10069020,17,2,OUTBOUND-ROSS,,0,17 -189,shp-17-52,1,1
10070070,P1,4,OUTBOUND-SWISSVALE,,0,P1  -224,shp-P1-57,1,1
1007020,57,2,INBOUND-DOWNTOWN,,1,57 -109,shp-57-01,1,1
10071010,61A,1,OUTBOUND-NORTH BRADDOCK,,0,61A-096,shp-61A-60,1,1
10072080,61B,3,OUTBOUND-NORTH BRADDOCK,,0,61B-109,shp-61B-59,1,1
10073010,55,1,INBOUND-NORTH VERSAILLES,,1,55 -040,shp-55-04,1,1
10074020,57,2,INBOUND-DOWNTOWN,,1,64 -306,shp-57-01,1,1
10075020,83,2,OUTBOUND-WHARTON SQUARE,,0,83 -351,shp-83-53,1,1
10076010,17,1,OUTBOUND-ROSS,,0,17 -104,shp-17-52,1,1
10077080,71D,3,INBOUND-OAKLAND,,1,71D-097,shp-71D-02,1,1
10078080,P1,3,INBOUND-DOWNTOWN,,1,P1  -167,shp-P1-12,1,1
10079010,71C,1,OUTBOUND-WILKINSBURG STATION,,0,86 -144,shp-71C-N4,1,1
10080080,P1,3,OUTBOUND-SWISSVALE,,0,P1  -168,shp-P1-57,1,1
1008020,54,2,INBOUND-ALLEGHENY STATION,,1,54 -228,shp-54-08,1,1
10081020,8,2,OUTBOUND-WEST VIEW,,0,8 -073,shp-8-53,1,1
10082020,40,2,OUTBOUND-DUQUESNE HEIGHTS,,0,40 -218,shp-40-53,1,1
10083020,81,2,OUTBOUND-WHARTON SQUARE,,0,81 -331,shp-81-53,1,1
10084070,28X,4,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,28X-034,shp-28X-54,1,1
10085020,83,2,INBOUND-DOWNTOWN,,1,83 -355,shp-83-03,1,1
10086020,91,2,INBOUND-DOWNTOWN,,1,91 -268,shp-91-01,1,1
10087010,61B,1,OUTBOUND-NORTH BRADDOCK,,0,61A-098,shp-61B-59,1,1
10088010,71D,1,OUTBOUND-WILKINSBURG,,0,71D-092,shp-71D-52,1,1
10089020,G2,2,OUTBOUND-CARNEGIE,,0,G2  -221,shp-G2-55,1,1
10090020,71A,2,INBOUND-OAKLAND,,1,71A-116,shp-71A-02,1,1
1009020,71A,2,OUTBOUND-HIGHLAND PARK,,0,71A-119,shp-71A-52,1,1
10091070,22,4,OUTBOUND-KENNEDY CENTER,,0,22 -024,shp-22-55,1,1
10092010,39,1,INBOUND-DOWNTOWN,,1,41 -071,shp-39-07,1,1
10093080,93,3,INBOUND-GLEN HAZEL,,1,93 -195,shp-93-02,1,1
10094010,48,1,OUTBOUND-SOUTH HILLS JUNCTION,,0,48 -095,shp-48-52,1,1
10095010,1,1,OUTBOUND-TARENTUM,,0,1 -005,shp-1-02,1,1
10096070,61A,4,OUTBOUND-NORTH BRADDOCK,,0,61A-105,shp-61A-60,1,1
10097070,82,4,INBOUND-DOWNTOWN,,1,82 -160,shp-82-02,1,1
10098080,57,3,INBOUND-DOWNTOWN,,1,57 -057,shp-57-01,1,1
10099020,16,2,INBOUND-DOWNTOWN,,1,4 -058,shp-16-13,1,1
10100070,P1,4,OUTBOUND-SWISSVALE,,0,P1  -221,shp-P1-57,1,1
1010020,28X,2,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,28X-012,shp-28X-54,1,1
101010,41,1,INBOUND-DOWNTOWN,,1,41 -074,shp-41-05,1,1
10101020,29,2,OUTBOUND-CCAC WEST,,0,29 -084,shp-29-53,1,1
10102080,43,3,INBOUND-DOWNTOWN,,1,43 -081,shp-43-03,1,1
10103080,16,3,INBOUND-DOWNTOWN,,1,16 -091,shp-16-13,1,1
10104010,57,1,INBOUND-DOWNTOWN,,1,57 -052,shp-57-01,1,1
10105070,71D,4,INBOUND-OAKLAND,,1,71D-116,shp-71D-02,1,1
10106080,61A,3,OUTBOUND-NORTH BRADDOCK,,0,61A-105,shp-61A-60,1,1
10107070,61B,4,INBOUND-DOWNTOWN,,1,61A-114,shp-61B-10,1,1
10108070,G2,4,OUTBOUND-CARNEGIE,,0,G2  -139,shp-G2-55,1,1
10109010,44,1,INBOUND-DOWNTOWN,,1,44 -086,shp-44-05,1,1
10110020,P68,2,INBOUND-DOWNTOWN,,1,58 -040,shp-P68-21,1,1
1011020,P1,2,OUTBOUND-SWISSVALE,,0,P1  -347,shp-P1-57,1,1
10111070,8,4,OUTBOUND-WEST VIEW,,0,8 -037,shp-8-53,1,1
10112010,71A,1,OUTBOUND-HIGHLAND PARK,,0,71A-048,shp-71A-52,1,1
10113020,P1,2,OUTBOUND-SWISSVALE,,0,P1  -368,shp-P1-57,1,1
10114020,71C,2,OUTBOUND-WILKINSBURG STATION,,0,71C-150,shp-71C-N4,1,1
10115020,91,2,OUTBOUND-RIDC PARK,,0,91 -282,shp-91-66,1,1
10116070,91,4,OUTBOUND-VA HOSPITAL,,0,91 -184,shp-91-51,1,1
10117020,61D,2,OUTBOUND-WATERFRONT,,0,57 -108,shp-61D-53,1,1
10118080,83,3,OUTBOUND-WHARTON SQUARE,,0,83 -187,shp-83-53,1,1
10119070,26,4,INBOUND-DOWNTOWN,,1,27 -043,shp-26-06,1,1
10120020,88,2,OUTBOUND-BAKERY SQUARE,,0,86 -304,shp-88-54,1,1
1012020,8,2,OUTBOUND-WEST VIEW,,0,8 -075,shp-8-53,1,1
10121020,61D,2,OUTBOUND-WATERFRONT,,0,61D-296,shp-61D-53,1,1
